Eingekauft;Artikel;Menge;Einheit;Sonstiges;Kategorie;Tage
false;Butter;9,50379;kg;;Kühlware;Aufbau, Aufbau, Samstag, Sonntag, Sonntag, Sonntag, Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Abbau
false;Grillkäse;18;Stk;;Kühlware;Aufbau, Mittwoch
false;Joghurt;3;kg;;Kühlware;Aufbau
false;Petersilie;1;Bund;;Gemüse-Obst;Aufbau
false;Blanto Kaba;6,8197;kg;;Sonstiges;Aufbau, Samstag, Sonntag, Montag, Mittwoch, Donnerstag, Freitag, Abbau, Allgemeines
false;Kaffee;0,735;kg;;Sonstiges;Aufbau, Samstag, Sonntag, Montag, Mittwoch, Donnerstag, Abbau
false;Maultaschen;9,3;kg;;Kühlware;Aufbau
false;vegetarische Maultaschen;3;Packung;;Kühlware;Aufbau
false;Landjäger;45;Stk;;Kühlware;Aufbau
false;Sojasauce;2;Liter;;Sonstiges;Samstag
false;Öl;1;Liter;;Sonstiges;Samstag
false;Puddingpulver;0,74925;kg;;Sonstiges;Sonntag
false;Knoblauch;5;Zehen;;Gemüse-Obst;Sonntag
false;Kichererbsen (gekocht);2;kg;;Konserven;Sonntag
false;Tahin (Sesampaste);1;Packung;;Konserven;Sonntag
false;Olivenöl;;;;Sonstiges;Sonntag
false;Zitronensaft;3;Stk;;Sonstiges;Sonntag
false;Knoblauch;4;Stk;;Gemüse-Obst;Sonntag, Mittwoch
false;Bauchspeck;10;Packung;;Kühlware;Montag
false;Toilettenpapier (Rollen);70;Stk;;Sonstiges;Montag, Allgemeines
false;Müsliriegel (Packungen);10;Stk;;Sonstiges;Montag
false;Wasser 1,5l;30;Stk;;Sonstiges;Montag
false;Wasser 0,5l;84;Stk;;Sonstiges;Montag
false;Olivenöl;6,948;Liter;;Sonstiges;Montag, Donnerstag, Freitag, Allgemeines
false;Paprika;22,176;Stk;;Gemüse-Obst;Montag, Freitag
false;Alu;1;Packung;;Sonstiges;Montag
false;Auberginen;5,265;Stk;erst am Montag kaufen;Gemüse-Obst;Dienstag
false;Champignons frisch;2,835;kg;erst am Montag kaufen;Gemüse-Obst;Dienstag
false;Mehl;1,053;kg;;Sonstiges;Dienstag
false;Sahne;1,134;Liter;;Kühlware;Dienstag
false;Nutella (großes Glas);3;Stk;;Sonstiges;Mittwoch
false;Weizentortilla klein;154;Stk;;Teigwaren;Mittwoch
false;„Wurzel“ Brühe;8,3;Liter;;Sonstiges;Donnerstag
false;Knoblauch Knollen;5,49;Stk;;Gemüse-Obst;Donnerstag, Allgemeines
false;Senf;0,249;kg;;Sonstiges;Donnerstag
false;Basilikumpflanzen;1,411;Stk;;Gemüse-Obst;Donnerstag
false;lactosefreie Milch;3;Liter;;Kühlware;Freitag
false;Cornflakes;1,5169;kg;;Sonstiges;Freitag
false;Crunchy Nuts;1,5169;kg;;Sonstiges;Freitag
false;Smacks;1,5169;kg;;Sonstiges;Freitag
false;Früchte Müsli;2,6334;kg;;Sonstiges;Freitag
false;Allzweckreiniger;1;Stk;;Sonstiges;Allgemeines
false;flüssige Handseife;0;Stk;;Sonstiges;Allgemeines
false;Spülmittel;6;Stk;;Sonstiges;Allgemeines
false;Zucker;1;kg;;Sonstiges;Allgemeines
false;Paletten Zitronentee;1;Stk;;Sonstiges;Allgemeines
false;Balsamicoessig weiß;1;Stk;;Sonstiges;Allgemeines
false;Margarine zum Braten;6;Stk;;Sonstiges;Allgemeines
false;Gummis;4;Packung;;Sonstiges;Allgemeines
false;Chips;4;Packung;;Sonstiges;Allgemeines
false;Nüsse (Cashew,...);4;Packung;;Sonstiges;Allgemeines
false;Schoko;4;Packung;;Sonstiges;Allgemeines
false;Paprika edelsüß;5;Packung;;Gewürze;Allgemeines
false;Paprika scharf;1;Packung;;Gewürze;Allgemeines
false;schwarzer Pfeffer;6;Packung;;Gewürze;Allgemeines
false;Curry;0;Packung;;Gewürze;Allgemeines
false;Lorbeerblätter ganz   oder;3;Packung;;Gewürze;Allgemeines
false;Lorbeer gemahlen;1;Packung;;Gewürze;Allgemeines
false;Nelke ganz;1;Packung;;Gewürze;Allgemeines
false;Nelke gemahlen;1;Packung;;Gewürze;Allgemeines
false;Muskat gemahlen;1;Packung;;Gewürze;Allgemeines